Team,GF,GA,GP
Argentina,26,2,9
Australia,13,7,9
Belgium,16,9,8
Brazil,27,3,8
Cameroon,20,14,15
Canada,21,9,12
Costa Rica,14,6,12
Croatia,12,8,9
Denmark,14,9,8
Ecuador,6,6,10
England,9,11,8
France,12,8,8
Germany,15,10,9
Ghana,19,19,17
Iran,8,5,8
Japan,27,9,14
Mexico,20,12,17
Morocco,22,11,13
Netherlands,19,9,8
Poland,10,13,9
Portugal,20,4,9
Qatar,15,13,13
Saudi Arabia,7,7,14
Senegal,27,15,20
Serbia,20,8,8
South Korea,33,15,16
Spain,18,7,9
Switzerland,8,14,9
Tunisia,17,8,13
Uruguay,18,2,9
USA,18,8,12
Wales,10,13,9
